
Toplam kullanılan renk sayısı: 45
Köşe ve renk eşleşmeleri:
köşe = 457, renk = 22
köşe = 468, renk = 14
köşe = 472, renk = 19
köşe = 473, renk = 24
köşe = 484, renk = 25
köşe = 485, renk = 21
köşe = 499, renk = 23
köşe = 2, renk = 22
köşe = 13, renk = 4
köşe = 14, renk = 12
köşe = 15, renk = 23
köşe = 16, renk = 26
köşe = 19, renk = 2
köşe = 26, renk = 26
köşe = 34, renk = 25
köşe = 37, renk = 27
köşe = 39, renk = 27
köşe = 46, renk = 20
köşe = 53, renk = 25
köşe = 56, renk = 24
köşe = 57, renk = 23
köşe = 58, renk = 23
köşe = 95, renk = 25
köşe = 112, renk = 28
köşe = 113, renk = 26
köşe = 116, renk = 24
köşe = 117, renk = 10
köşe = 128, renk = 18
köşe = 151, renk = 20
köşe = 153, renk = 21
köşe = 163, renk = 8
köşe = 169, renk = 13
köşe = 171, renk = 28
köşe = 184, renk = 28
köşe = 199, renk = 26
köşe = 200, renk = 11
köşe = 206, renk = 19
köşe = 213, renk = 1
köşe = 242, renk = 23
köşe = 246, renk = 1
köşe = 247, renk = 4
köşe = 251, renk = 17
köşe = 259, renk = 24
köşe = 267, renk = 28
köşe = 271, renk = 26
köşe = 275, renk = 27
köşe = 280, renk = 25
köşe = 293, renk = 29
köşe = 294, renk = 20
köşe = 297, renk = 0
köşe = 298, renk = 25
köşe = 299, renk = 24
köşe = 302, renk = 29
köşe = 351, renk = 28
köşe = 378, renk = 10
köşe = 387, renk = 27
köşe = 391, renk = 30
köşe = 414, renk = 19
köşe = 417, renk = 5
köşe = 420, renk = 13
köşe = 421, renk = 30
köşe = 422, renk = 14
köşe = 427, renk = 23
köşe = 430, renk = 31
köşe = 432, renk = 28
köşe = 435, renk = 26
köşe = 444, renk = 27
köşe = 445, renk = 16
köşe = 450, renk = 29
köşe = 462, renk = 27
köşe = 480, renk = 30
köşe = 486, renk = 29
köşe = 487, renk = 30
köşe = 488, renk = 31
köşe = 489, renk = 19
köşe = 3, renk = 13
köşe = 20, renk = 17
köşe = 24, renk = 19
köşe = 38, renk = 29
köşe = 49, renk = 24
köşe = 54, renk = 30
köşe = 70, renk = 27
köşe = 75, renk = 12
köşe = 80, renk = 30
köşe = 81, renk = 29
köşe = 90, renk = 28
köşe = 109, renk = 31
köşe = 114, renk = 25
köşe = 115, renk = 22
köşe = 123, renk = 30
köşe = 127, renk = 31
köşe = 138, renk = 4
köşe = 139, renk = 28
köşe = 144, renk = 20
köşe = 150, renk = 31
köşe = 170, renk = 8
köşe = 173, renk = 22
köşe = 178, renk = 32
köşe = 188, renk = 32
köşe = 189, renk = 31
köşe = 215, renk = 33
köşe = 217, renk = 32
köşe = 224, renk = 27
köşe = 229, renk = 21
köşe = 233, renk = 28
köşe = 234, renk = 8
köşe = 261, renk = 1
köşe = 270, renk = 25
köşe = 273, renk = 31
köşe = 292, renk = 24
köşe = 326, renk = 16
köşe = 329, renk = 7
köşe = 330, renk = 22
köşe = 355, renk = 21
köşe = 359, renk = 33
köşe = 361, renk = 5
köşe = 364, renk = 34
köşe = 377, renk = 31
köşe = 386, renk = 32
köşe = 397, renk = 32
köşe = 398, renk = 23
köşe = 410, renk = 32
köşe = 415, renk = 35
köşe = 431, renk = 27
köşe = 434, renk = 30
köşe = 438, renk = 2
köşe = 443, renk = 33
köşe = 451, renk = 9
köşe = 456, renk = 34
köşe = 469, renk = 28
köşe = 474, renk = 20
köşe = 495, renk = 35
köşe = 4, renk = 33
köşe = 35, renk = 29
köşe = 59, renk = 30
köşe = 65, renk = 29
köşe = 91, renk = 34
köşe = 121, renk = 36
köşe = 131, renk = 20
köşe = 137, renk = 20
köşe = 159, renk = 34
köşe = 167, renk = 29
köşe = 187, renk = 17
köşe = 202, renk = 37
köşe = 214, renk = 3
köşe = 219, renk = 25
köşe = 220, renk = 36
köşe = 225, renk = 18
köşe = 230, renk = 26
köşe = 238, renk = 14
köşe = 258, renk = 34
köşe = 274, renk = 25
köşe = 284, renk = 35
köşe = 303, renk = 34
köşe = 306, renk = 35
köşe = 324, renk = 8
köşe = 346, renk = 15
köşe = 366, renk = 36
köşe = 368, renk = 36
köşe = 370, renk = 35
köşe = 373, renk = 38
köşe = 383, renk = 37
köşe = 436, renk = 36
köşe = 446, renk = 3
köşe = 467, renk = 32
köşe = 479, renk = 35
köşe = 491, renk = 39
köşe = 493, renk = 38
köşe = 25, renk = 24
köşe = 31, renk = 11
köşe = 42, renk = 2
köşe = 68, renk = 21
köşe = 73, renk = 33
köşe = 76, renk = 31
köşe = 89, renk = 21
köşe = 100, renk = 34
köşe = 102, renk = 40
köşe = 119, renk = 32
köşe = 133, renk = 38
köşe = 152, renk = 41
köşe = 158, renk = 28
köşe = 186, renk = 23
köşe = 195, renk = 35
köşe = 257, renk = 0
köşe = 295, renk = 40
köşe = 318, renk = 39
köşe = 328, renk = 40
köşe = 344, renk = 39
köşe = 352, renk = 38
köşe = 362, renk = 2
köşe = 371, renk = 13
köşe = 385, renk = 10
köşe = 395, renk = 30
köşe = 459, renk = 0
köşe = 461, renk = 22
köşe = 476, renk = 26
köşe = 27, renk = 32
köşe = 32, renk = 37
köşe = 101, renk = 16
köşe = 149, renk = 29
köşe = 194, renk = 37
köşe = 237, renk = 39
köşe = 256, renk = 36
köşe = 288, renk = 17
köşe = 334, renk = 38
köşe = 345, renk = 39
köşe = 498, renk = 38
köşe = 48, renk = 37
köşe = 79, renk = 31
köşe = 191, renk = 41
köşe = 282, renk = 41
köşe = 301, renk = 35
köşe = 365, renk = 36
köşe = 389, renk = 39
köşe = 411, renk = 35
köşe = 477, renk = 4
köşe = 494, renk = 33
köşe = 8, renk = 42
köşe = 17, renk = 37
köşe = 111, renk = 38
köşe = 132, renk = 41
köşe = 175, renk = 15
köşe = 307, renk = 24
köşe = 316, renk = 43
köşe = 358, renk = 3
köşe = 363, renk = 37
köşe = 376, renk = 44
köşe = 449, renk = 30
köşe = 52, renk = 42
köşe = 72, renk = 14
köşe = 77, renk = 33
köşe = 103, renk = 41
köşe = 185, renk = 36
köşe = 227, renk = 41
köşe = 241, renk = 26
köşe = 285, renk = 39
köşe = 305, renk = 43
köşe = 347, renk = 16
köşe = 439, renk = 42
köşe = 143, renk = 40
köşe = 177, renk = 40
köşe = 198, renk = 10
köşe = 331, renk = 32
köşe = 360, renk = 21
köşe = 40, renk = 34
köşe = 64, renk = 42
köşe = 424, renk = 26
köşe = 278, renk = 34
köşe = 283, renk = 12
köşe = 447, renk = 12
köşe = 71, renk = 16
köşe = 120, renk = 31
köşe = 182, renk = 32
köşe = 255, renk = 8
köşe = 322, renk = 43
köşe = 106, renk = 34
köşe = 426, renk = 33


